L,n_sweeps,rep,dwd
256,800,0,0.00000000
256,800,1,0.00410461
256,800,2,0.00000000
256,800,3,0.00000000
256,800,4,0.00408936
256,800,5,0.00781250
256,800,6,0.00000000
256,800,7,0.00000000
256,800,8,0.00410461
256,800,9,0.00404358
256,800,10,0.00000000
256,800,11,0.00000000
256,800,12,0.00404358
256,800,13,0.00000000
256,800,14,0.00000000
256,800,15,0.00439453
256,800,16,0.00000000
256,800,17,0.00000000
256,800,18,0.00000000
256,800,19,0.00000000
256,800,20,0.00000000
256,800,21,0.00000000
256,800,22,0.00781250
256,800,23,0.00411987
256,800,24,0.00000000
256,800,25,0.00416565
256,800,26,0.00408936
256,800,27,0.00000000
256,800,28,0.00000000
256,800,29,0.00419617
256,800,30,0.00402832
256,800,31,0.00000000
256,800,32,0.00405884
256,800,33,0.00000000
256,800,34,0.00404358
256,800,35,0.00000000
256,800,36,0.00000000
256,800,37,0.00411987
256,800,38,0.00401306
256,800,39,0.00000000
256,800,40,0.00000000
256,800,41,0.00000000
256,800,42,0.00407410
256,800,43,0.00000000
256,800,44,0.00000000
256,800,45,0.00416565
256,800,46,0.00408936
256,800,47,0.00408936
256,800,48,0.00411987
256,800,49,0.00000000
256,800,50,0.00714111
256,800,51,0.00404358
256,800,52,0.00404358
256,800,53,0.00000000
256,800,54,0.00413513
256,800,55,0.00407410
256,800,56,0.00408936
256,800,57,0.00407410
256,800,58,0.00000000
256,800,59,0.00000000
256,800,60,0.00416565
256,800,61,0.00401306
256,800,62,0.00000000
256,800,63,0.00280762
256,800,64,0.00000000
256,800,65,0.00000000
256,800,66,0.00000000
256,800,67,0.00000000
256,800,68,0.00411987
256,800,69,0.00413513
256,800,70,0.00000000
256,800,71,0.00408936
256,800,72,0.00000000
256,800,73,0.00000000
256,800,74,0.00000000
256,800,75,0.00000000
256,800,76,0.00413513
256,800,77,0.00000000
256,800,78,0.00000000
256,800,79,0.00000000
256,800,80,0.00000000
256,800,81,0.00000000
256,800,82,0.00000000
256,800,83,0.00000000
256,800,84,0.00404358
256,800,85,0.00410461
256,800,86,0.00000000
256,800,87,0.00000000
256,800,88,0.00396729
256,800,89,0.00000000
256,800,90,0.00000000
256,800,91,0.00000000
256,800,92,0.00408936
256,800,93,0.00000000
256,800,94,0.00000000
256,800,95,0.00000000
256,800,96,0.00000000
256,800,97,0.00407410
256,800,98,0.00000000
256,800,99,0.00416565
256,800,100,0.00000000
256,800,101,0.00411987
256,800,102,0.00405884
256,800,103,0.00000000
256,800,104,0.00000000
256,800,105,0.00000000
256,800,106,0.00000000
256,800,107,0.00413513
256,800,108,0.00341797
256,800,109,0.00782776
256,800,110,0.00000000
256,800,111,0.00000000
256,800,112,0.00000000
256,800,113,0.00000000
256,800,114,0.00000000
256,800,115,0.00408936
256,800,116,0.00413513
256,800,117,0.00000000
256,800,118,0.00000000
256,800,119,0.00000000
256,800,120,0.00000000
256,800,121,0.00422668
256,800,122,0.00000000
256,800,123,0.00000000
256,800,124,0.00000000
256,800,125,0.00000000
256,800,126,0.00405884
256,800,127,0.00000000
256,800,128,0.00410461
256,800,129,0.00000000
256,800,130,0.00000000
256,800,131,0.00405884
256,800,132,0.00000000
256,800,133,0.00000000
256,800,134,0.00000000
256,800,135,0.00000000
256,800,136,0.00000000
256,800,137,0.00000000
256,800,138,0.00000000
256,800,139,0.00000000
256,800,140,0.00000000
256,800,141,0.00000000
256,800,142,0.00000000
256,800,143,0.00411987
256,800,144,0.00000000
256,800,145,0.00402832
256,800,146,0.00399780
256,800,147,0.00000000
256,800,148,0.00421143
256,800,149,0.00408936
256,800,150,0.00000000
256,800,151,0.00000000
256,800,152,0.00411987
256,800,153,0.00000000
256,800,154,0.00402832
256,800,155,0.00000000
256,800,156,0.00000000
256,800,157,0.00000000
256,800,158,0.00000000
256,800,159,0.00402832
256,800,160,0.00411987
256,800,161,0.00000000
256,800,162,0.00408936
256,800,163,0.00000000
256,800,164,0.00000000
256,800,165,0.00000000
256,800,166,0.00421143
256,800,167,0.00000000
256,800,168,0.00000000
256,800,169,0.00000000
256,800,170,0.00000000
256,800,171,0.00000000
256,800,172,0.00000000
256,800,173,0.00000000
256,800,174,0.00000000
256,800,175,0.00404358
256,800,176,0.00410461
256,800,177,0.00401306
256,800,178,0.00000000
256,800,179,0.00405884
256,800,180,0.00000000
256,800,181,0.00410461
256,800,182,0.00000000
256,800,183,0.00000000
256,800,184,0.00000000
256,800,185,0.00000000
256,800,186,0.00000000
256,800,187,0.00411987
256,800,188,0.00416565
256,800,189,0.00404358
256,800,190,0.00000000
256,800,191,0.00000000
256,800,192,0.00000000
256,800,193,0.00781250
256,800,194,0.00000000
256,800,195,0.00000000
256,800,196,0.00000000
256,800,197,0.00410461
256,800,198,0.00000000
256,800,199,0.00405884
256,1600,0,0.00000000
256,1600,1,0.00000000
256,1600,2,0.00000000
256,1600,3,0.00000000
256,1600,4,0.00408936
256,1600,5,0.00000000
256,1600,6,0.00000000
256,1600,7,0.00000000
256,1600,8,0.00000000
256,1600,9,0.00000000
256,1600,10,0.00415039
256,1600,11,0.00407410
256,1600,12,0.00000000
256,1600,13,0.00000000
256,1600,14,0.00401306
256,1600,15,0.00407410
256,1600,16,0.00000000
256,1600,17,0.00000000
256,1600,18,0.00000000
256,1600,19,0.00000000
256,1600,20,0.00000000
256,1600,21,0.00402832
256,1600,22,0.00000000
256,1600,23,0.00000000
256,1600,24,0.00402832
256,1600,25,0.00411987
256,1600,26,0.00000000
256,1600,27,0.00000000
256,1600,28,0.00000000
256,1600,29,0.00000000
256,1600,30,0.00402832
256,1600,31,0.00000000
256,1600,32,0.00000000
256,1600,33,0.00413513
256,1600,34,0.00000000
256,1600,35,0.00000000
256,1600,36,0.00000000
256,1600,37,0.00405884
256,1600,38,0.00000000
256,1600,39,0.00000000
256,1600,40,0.00000000
256,1600,41,0.00000000
256,1600,42,0.00000000
256,1600,43,0.00000000
256,1600,44,0.00402832
256,1600,45,0.00402832
256,1600,46,0.00410461
256,1600,47,0.00402832
256,1600,48,0.00000000
256,1600,49,0.00000000
256,1600,50,0.00000000
256,1600,51,0.00000000
256,1600,52,0.00000000
256,1600,53,0.00402832
256,1600,54,0.00404358
256,1600,55,0.00442505
256,1600,56,0.00000000
256,1600,57,0.00415039
256,1600,58,0.00404358
256,1600,59,0.00000000
256,1600,60,0.00000000
256,1600,61,0.00000000
256,1600,62,0.00000000
256,1600,63,0.00407410
256,1600,64,0.00000000
256,1600,65,0.00404358
256,1600,66,0.00000000
256,1600,67,0.00404358
256,1600,68,0.00000000
256,1600,69,0.00000000
256,1600,70,0.00000000
256,1600,71,0.00401306
256,1600,72,0.00000000
256,1600,73,0.00408936
256,1600,74,0.00000000
256,1600,75,0.00000000
256,1600,76,0.00000000
256,1600,77,0.00000000
256,1600,78,0.00000000
256,1600,79,0.00000000
256,1600,80,0.00000000
256,1600,81,0.00000000
256,1600,82,0.00000000
256,1600,83,0.00405884
256,1600,84,0.00000000
256,1600,85,0.00000000
256,1600,86,0.00000000
256,1600,87,0.00000000
256,1600,88,0.00000000
256,1600,89,0.00408936
256,1600,90,0.00405884
256,1600,91,0.00411987
256,1600,92,0.00000000
256,1600,93,0.00399780
256,1600,94,0.00000000
256,1600,95,0.00000000
256,1600,96,0.00413513
256,1600,97,0.00407410
256,1600,98,0.00404358
256,1600,99,0.00408936
256,1600,100,0.00000000
256,1600,101,0.00000000
256,1600,102,0.00000000
256,1600,103,0.00000000
256,1600,104,0.00000000
256,1600,105,0.00000000
256,1600,106,0.00405884
256,1600,107,0.00000000
256,1600,108,0.00405884
256,1600,109,0.00000000
256,1600,110,0.00000000
256,1600,111,0.00000000
256,1600,112,0.00407410
256,1600,113,0.00000000
256,1600,114,0.00408936
256,1600,115,0.00000000
256,1600,116,0.00000000
256,1600,117,0.00402832
256,1600,118,0.00000000
256,1600,119,0.00000000
256,1600,120,0.00000000
256,1600,121,0.00404358
256,1600,122,0.00410461
256,1600,123,0.00000000
256,1600,124,0.00000000
256,1600,125,0.00000000
256,1600,126,0.00000000
256,1600,127,0.00402832
256,1600,128,0.00000000
256,1600,129,0.00415039
256,1600,130,0.00402832
256,1600,131,0.00402832
256,1600,132,0.00404358
256,1600,133,0.00000000
256,1600,134,0.00000000
256,1600,135,0.00000000
256,1600,136,0.00000000
256,1600,137,0.00000000
256,1600,138,0.00000000
256,1600,139,0.00000000
256,1600,140,0.00416565
256,1600,141,0.00000000
256,1600,142,0.00000000
256,1600,143,0.00000000
256,1600,144,0.00415039
256,1600,145,0.00000000
256,1600,146,0.00000000
256,1600,147,0.00404358
256,1600,148,0.00000000
256,1600,149,0.00000000
256,1600,150,0.00407410
256,1600,151,0.00000000
256,1600,152,0.00000000
256,1600,153,0.00404358
256,1600,154,0.00000000
256,1600,155,0.00404358
256,1600,156,0.00000000
256,1600,157,0.00000000
256,1600,158,0.00000000
256,1600,159,0.00000000
256,1600,160,0.00422668
256,1600,161,0.00405884
256,1600,162,0.00000000
256,1600,163,0.00408936
256,1600,164,0.00782776
256,1600,165,0.00000000
256,1600,166,0.00000000
256,1600,167,0.00000000
256,1600,168,0.00000000
256,1600,169,0.00000000
256,1600,170,0.00000000
256,1600,171,0.00411987
256,1600,172,0.00000000
256,1600,173,0.00000000
256,1600,174,0.00000000
256,1600,175,0.00410461
256,1600,176,0.00000000
256,1600,177,0.00000000
256,1600,178,0.00000000
256,1600,179,0.00000000
256,1600,180,0.00405884
256,1600,181,0.00000000
256,1600,182,0.00000000
256,1600,183,0.00404358
256,1600,184,0.00000000
256,1600,185,0.00000000
256,1600,186,0.00410461
256,1600,187,0.00000000
256,1600,188,0.00000000
256,1600,189,0.00000000
256,1600,190,0.00399780
256,1600,191,0.00000000
256,1600,192,0.00408936
256,1600,193,0.00407410
256,1600,194,0.00413513
256,1600,195,0.00000000
256,1600,196,0.00000000
256,1600,197,0.00000000
256,1600,198,0.00000000
256,1600,199,0.00000000
256,3200,0,0.00000000
256,3200,1,0.00408936
256,3200,2,0.00404358
256,3200,3,0.00415039
256,3200,4,0.00405884
256,3200,5,0.00000000
256,3200,6,0.00000000
256,3200,7,0.00000000
256,3200,8,0.00000000
256,3200,9,0.00000000
256,3200,10,0.00404358
256,3200,11,0.00404358
256,3200,12,0.00000000
256,3200,13,0.00000000
256,3200,14,0.00404358
256,3200,15,0.00000000
256,3200,16,0.00000000
256,3200,17,0.00408936
256,3200,18,0.00000000
256,3200,19,0.00000000
256,3200,20,0.00000000
256,3200,21,0.00000000
256,3200,22,0.00781250
256,3200,23,0.00407410
256,3200,24,0.00000000
256,3200,25,0.00000000
256,3200,26,0.00404358
256,3200,27,0.00000000
256,3200,28,0.00000000
256,3200,29,0.00405884
256,3200,30,0.00000000
256,3200,31,0.00000000
256,3200,32,0.00415039
256,3200,33,0.00402832
256,3200,34,0.00000000
256,3200,35,0.00000000
256,3200,36,0.00000000
256,3200,37,0.00402832
256,3200,38,0.00000000
256,3200,39,0.00408936
256,3200,40,0.00000000
256,3200,41,0.00000000
256,3200,42,0.00410461
256,3200,43,0.00000000
256,3200,44,0.00410461
256,3200,45,0.00000000
256,3200,46,0.00408936
