L,n_sweeps,rep,dwd
64,204800,18,0.00000000
64,204800,19,0.00000000
128,200,0,0.00848389
128,200,1,0.00000000
128,200,2,0.00000000
128,200,3,0.00000000
128,200,4,0.00805664
128,200,5,0.00000000
128,200,6,0.00000000
128,200,7,0.00000000
128,200,8,0.00811768
128,200,9,0.00000000
128,200,10,0.00000000
128,200,11,0.00000000
128,200,12,0.00000000
128,200,13,0.00000000
128,200,14,0.00842285
128,200,15,0.00000000
128,200,16,0.00000000
128,200,17,0.00000000
128,200,18,0.00000000
128,200,19,0.00897217
128,400,0,0.00000000
128,400,1,0.00000000
128,400,2,0.00000000
128,400,3,0.00830078
128,400,4,0.00830078
128,400,5,0.00000000
128,400,6,0.00811768
128,400,7,0.00000000
128,400,8,0.00817871
128,400,9,0.00000000
128,400,10,0.00000000
128,400,11,0.00000000
128,400,12,0.00000000
128,400,13,0.00000000
128,400,14,0.00000000
128,400,15,0.00000000
128,400,16,0.00000000
128,400,17,0.00811768
128,400,18,0.00000000
128,400,19,0.00817871
128,800,0,0.01562500
128,800,1,0.00000000
128,800,2,0.00817871
128,800,3,0.00000000
128,800,4,0.00000000
128,800,5,0.00805664
128,800,6,0.00805664
128,800,7,0.00000000
128,800,8,0.00000000
128,800,9,0.00799561
128,800,10,0.00848389
128,800,11,0.00817871
128,800,12,0.00000000
128,800,13,0.00811768
128,800,14,0.00000000
128,800,15,0.00842285
128,800,16,0.00000000
128,800,17,0.00842285
128,800,18,0.00000000
128,800,19,0.00823975
128,1600,0,0.00000000
128,1600,1,0.00000000
128,1600,2,0.00000000
128,1600,3,0.00000000
128,1600,4,0.00000000
128,1600,5,0.00000000
128,1600,6,0.00000000
128,1600,7,0.00000000
128,1600,8,0.00000000
128,1600,9,0.00000000
128,1600,10,0.00000000
128,1600,11,0.00000000
128,1600,12,0.00823975
128,1600,13,0.00000000
128,1600,14,0.00000000
128,1600,15,0.00000000
128,1600,16,0.00000000
128,1600,17,0.00000000
128,1600,18,0.00811768
128,1600,19,0.00811768
128,3200,0,0.00793457
128,3200,1,0.00000000
128,3200,2,0.00842285
128,3200,3,0.00000000
128,3200,4,0.00823975
128,3200,5,0.00000000
128,3200,6,0.00000000
128,3200,7,0.00000000
128,3200,8,0.00000000
128,3200,9,0.00000000
128,3200,10,0.00000000
128,3200,11,0.00811768
128,3200,12,0.00000000
128,3200,13,0.00000000
128,3200,14,0.00000000
128,3200,15,0.00000000
128,3200,16,0.00000000
128,3200,17,0.00000000
128,3200,18,0.00000000
128,3200,19,0.00854492
128,6400,0,0.00000000
128,6400,1,0.00000000
128,6400,2,0.00811768
128,6400,3,0.00805664
128,6400,4,0.00000000
128,6400,5,0.00000000
128,6400,6,0.00000000
128,6400,7,0.00830078
128,6400,8,0.00000000
128,6400,9,0.00000000
128,6400,10,0.00000000
128,6400,11,0.00000000
128,6400,12,0.00000000
128,6400,13,0.00836182
128,6400,14,0.00000000
128,6400,15,0.00000000
128,6400,16,0.00000000
128,6400,17,0.00000000
128,6400,18,0.00000000
128,6400,19,0.00836182
128,12800,0,0.00000000
128,12800,1,0.00000000
128,12800,2,0.00000000
128,12800,3,0.00000000
128,12800,4,0.00000000
128,12800,5,0.00000000
128,12800,6,0.00000000
128,12800,7,0.00811768
128,12800,8,0.00000000
128,12800,9,0.00000000
128,12800,10,0.00000000
128,12800,11,0.00817871
128,12800,12,0.00817871
128,12800,13,0.00811768
128,12800,14,0.00000000
128,12800,15,0.00817871
128,12800,16,0.00000000
128,12800,17,0.00000000
128,12800,18,0.00000000
128,12800,19,0.00000000
128,25600,0,0.00836182
128,25600,1,0.00000000
128,25600,2,0.00000000
128,25600,3,0.00000000
128,25600,4,0.00000000
128,25600,5,0.00000000
128,25600,6,0.00000000
128,25600,7,0.00000000
128,25600,8,0.00000000
128,25600,9,0.00000000
128,25600,10,0.00823975
128,25600,11,0.00000000
128,25600,12,0.00000000
128,25600,13,0.00000000
128,25600,14,0.00805664
128,25600,15,0.00805664
128,25600,16,0.00000000
128,25600,17,0.00805664
128,25600,18,0.00000000
128,25600,19,0.00000000
128,51200,0,0.00000000
128,51200,1,0.00000000
128,51200,2,0.00000000
128,51200,3,0.00000000
128,51200,4,0.00000000
128,51200,5,0.00000000
128,51200,6,0.00000000
128,51200,7,0.00000000
128,51200,8,0.00000000
128,51200,9,0.00000000
128,51200,10,0.00000000
128,51200,11,0.00000000
128,51200,12,0.00000000
128,51200,13,0.00000000
128,51200,14,0.00000000
128,51200,15,0.00000000
128,51200,16,0.00000000
128,51200,17,0.00000000
128,51200,18,0.00000000
128,51200,19,0.00000000
128,102400,0,0.00000000
128,102400,1,0.00000000
128,102400,2,0.00000000
128,102400,3,0.00000000
128,102400,4,0.00000000
128,102400,5,0.00000000
128,102400,6,0.00000000
128,102400,7,0.00000000
128,102400,8,0.00000000
128,102400,9,0.00000000
128,102400,10,0.00000000
128,102400,11,0.00000000
128,102400,12,0.00000000
128,102400,13,0.00000000
128,102400,14,0.00000000
128,102400,15,0.00000000
128,102400,16,0.00000000
128,102400,17,0.00000000
128,102400,18,0.00000000
128,102400,19,0.00000000
128,204800,0,0.00000000
128,204800,1,0.00000000
128,204800,2,0.00000000
128,204800,3,0.00000000
128,204800,4,0.00000000
128,204800,5,0.00000000
128,204800,6,0.00000000
128,204800,7,0.00000000
128,204800,8,0.00000000
128,204800,9,0.00000000
128,204800,10,0.00000000
128,204800,11,0.00000000
128,204800,12,0.00000000
128,204800,13,0.00000000
128,204800,14,0.00000000
128,204800,15,0.00000000
128,204800,16,0.00000000
128,204800,17,0.00000000
128,204800,18,0.00000000
128,204800,19,0.00000000
256,200,0,0.00468445
256,200,1,0.00216675
256,200,2,0.00422668
256,200,3,0.00393677
256,200,4,0.00059509
256,200,5,0.00064087
256,200,6,0.00033569
256,200,7,0.00097656
256,200,8,0.00065613
256,200,9,0.00141907
256,200,10,0.00418091
256,200,11,0.00416565
256,200,12,0.00000000
256,200,13,0.00369263
256,200,14,0.00433350
256,200,15,0.00331116
256,200,16,0.00444031
256,200,17,0.00267029
256,200,18,0.00369263
256,200,19,0.00320435
256,400,0,0.00000000
256,400,1,0.00000000
256,400,2,0.00425720
256,400,3,0.00000000
256,400,4,0.00411987
256,400,5,0.00000000
256,400,6,0.00000000
256,400,7,0.00415039
256,400,8,0.00000000
256,400,9,0.00416565
256,400,10,0.00408936
