L,n_sweeps,rep,dwd
32,100,15,0.00000000
32,100,16,0.00000000
32,100,17,0.03515625
32,100,18,0.00000000
32,100,19,0.00000000
32,200,0,0.03417969
32,200,1,0.00000000
32,200,2,0.00000000
32,200,3,0.00000000
32,200,4,0.00000000
32,200,5,0.03613281
32,200,6,0.03320312
32,200,7,0.03515625
32,200,8,0.03222656
32,200,9,0.00000000
32,200,10,0.03320312
32,200,11,0.03417969
32,200,12,0.00000000
32,200,13,0.00000000
32,200,14,0.03417969
32,200,15,0.00000000
32,200,16,0.00000000
32,200,17,0.00000000
32,200,18,0.00000000
32,200,19,0.00000000
32,500,0,0.00000000
32,500,1,0.00000000
32,500,2,0.00000000
32,500,3,0.00000000
32,500,4,0.00000000
32,500,5,0.03222656
32,500,6,0.00000000
32,500,7,0.00000000
32,500,8,0.00000000
32,500,9,0.00000000
32,500,10,0.00000000
32,500,11,0.00000000
32,500,12,0.00000000
32,500,13,0.00000000
32,500,14,0.00000000
32,500,15,0.00000000
32,500,16,0.00000000
32,500,17,0.00000000
32,500,18,0.00000000
32,500,19,0.00000000
32,1000,0,0.00000000
32,1000,1,0.00000000
32,1000,2,0.00000000
32,1000,3,0.00000000
32,1000,4,0.00000000
32,1000,5,0.00000000
32,1000,6,0.00000000
32,1000,7,0.00000000
32,1000,8,0.00000000
32,1000,9,0.00000000
32,1000,10,0.00000000
32,1000,11,0.00000000
32,1000,12,0.00000000
32,1000,13,0.00000000
32,1000,14,0.03222656
32,1000,15,0.00000000
32,1000,16,0.00000000
32,1000,17,0.00000000
32,1000,18,0.00000000
32,1000,19,0.00000000
32,2000,0,0.00000000
32,2000,1,0.00000000
32,2000,2,0.00000000
32,2000,3,0.00000000
32,2000,4,0.00000000
32,2000,5,0.00000000
32,2000,6,0.00000000
32,2000,7,0.00000000
32,2000,8,0.00000000
32,2000,9,0.00000000
32,2000,10,0.00000000
32,2000,11,0.00000000
32,2000,12,0.00000000
32,2000,13,0.00000000
32,2000,14,0.00000000
32,2000,15,0.00000000
32,2000,16,0.00000000
32,2000,17,0.00000000
32,2000,18,0.00000000
32,2000,19,0.00000000
32,5000,0,0.00000000
32,5000,1,0.00000000
32,5000,2,0.00000000
32,5000,3,0.00000000
32,5000,4,0.00000000
32,5000,5,0.00000000
32,5000,6,0.00000000
32,5000,7,0.00000000
32,5000,8,0.00000000
32,5000,9,0.00000000
32,5000,10,0.00000000
32,5000,11,0.00000000
32,5000,12,0.00000000
32,5000,13,0.00000000
32,5000,14,0.00000000
32,5000,15,0.00000000
32,5000,16,0.00000000
32,5000,17,0.00000000
32,5000,18,0.00000000
32,5000,19,0.00000000
